Date,1. open,2. high,3. low,4. close,Volume
2023-12-27,2230.93000000,2393.39000000,2212.12000000,2380.66000000,167830.74188422
2023-12-26,2271.42000000,2275.20000000,2148.10000000,2230.91000000,112774.77130849
2023-12-25,2265.45000000,2304.93000000,2253.96000000,2271.53000000,46049.01449884
2023-12-24,2309.51000000,2327.66000000,2244.79000000,2265.33000000,66756.02178328
2023-12-23,2326.49000000,2332.69000000,2266.79000000,2309.58000000,71690.42077486
2023-12-22,2239.92000000,2344.26000000,2230.66000000,2326.35000000,173481.66487576
2023-12-21,2201.93000000,2279.65000000,2182.83000000,2239.92000000,136641.48600479
2023-12-20,2177.32000000,2264.85000000,2156.96000000,2202.00000000,164826.68035353
2023-12-19,2218.58000000,2254.14000000,2134.43000000,2177.27000000,122574.02370214
2023-12-18,2194.45000000,2223.31000000,2115.22000000,2218.71000000,103052.23127627
2023-12-17,2227.19000000,2247.08000000,2189.89000000,2194.75000000,56323.14052930
2023-12-16,2220.44000000,2262.00000000,2209.68000000,2227.29000000,49598.43029094
2023-12-15,2315.81000000,2318.39000000,2199.76000000,2220.31000000,122773.57046315
2023-12-14,2260.69000000,2332.39000000,2229.90000000,2315.95000000,142369.02286482
2023-12-13,2202.39000000,2284.98000000,2144.52000000,2260.69000000,141516.28789964
2023-12-12,2224.15000000,2243.23000000,2164.82000000,2202.34000000,128295.68890567
2023-12-11,2352.71000000,2354.99000000,2127.36000000,2224.06000000,193291.06535168
2023-12-10,2341.48000000,2377.61000000,2322.53000000,2352.29000000,44645.61294931
2023-12-09,2359.01000000,2403.37000000,2329.35000000,2341.28000000,69627.48310609
2023-12-08,2356.40000000,2392.35000000,2338.25000000,2358.59000000,130139.81922754
2023-12-07,2233.08000000,2384.00000000,2222.58000000,2356.57000000,159654.71681372
2023-12-06,2293.96000000,2312.75000000,2219.61000000,2232.80000000,134193.65734318
2023-12-05,2243.25000000,2309.82000000,2187.97000000,2293.97000000,167077.77250219
2023-12-04,2194.12000000,2274.95000000,2192.41000000,2243.29000000,156712.86675745
2023-12-03,2165.85000000,2217.78000000,2150.30000000,2194.13000000,78192.25684803
2023-12-02,2088.43000000,2190.48000000,2086.97000000,2165.76000000,83470.66010767
2023-12-01,2053.08000000,2112.09000000,2045.99000000,2088.40000000,142736.12841928
2023-11-30,2029.14000000,2055.74000000,2020.96000000,2053.10000000,75775.80126746
2023-11-29,2048.94000000,2075.84000000,2019.63000000,2029.11000000,75542.21726307
2023-11-28,2027.46000000,2076.00000000,1995.29000000,2049.08000000,100207.91528700
